,Team,Round,HomeAway,FinalScore,Date,Day,Time,Venue,ActualCrowd,Season,Opposition,WinLoss,LadderPosition,Margin,OppLadderPosition,Last5
124,Sydney,7,Home,89,2022-05-01,Sunday,5,SCG,30110,2022,Brisbane Lions,Loss,5,-24,2,4
125,Brisbane Lions,7,Away,113,2022-05-01,Sunday,5,SCG,30110,2022,Sydney,Win,2,24,5,4
126,Port Adelaide,8,Home,86,2022-05-06,Friday,7,Adelaide Oval,29290,2022,Western Bulldogs,Win,11,17,10,2
127,Western Bulldogs,8,Away,69,2022-05-06,Friday,7,Adelaide Oval,29290,2022,Port Adelaide,Loss,10,-17,11,3
128,Fremantle,8,Home,102,2022-05-06,Friday,7,Perth Stadium,37040,2022,North Melbourne,Win,2,78,17,5
129,North Melbourne,8,Away,24,2022-05-06,Friday,7,Perth Stadium,37040,2022,Fremantle,Loss,17,-78,2,0
130,Richmond,8,Home,113,2022-05-07,Saturday,2,MCG,64481,2022,Collingwood,Win,8,27,9,2
131,Collingwood,8,Away,86,2022-05-07,Saturday,2,MCG,64481,2022,Richmond,Loss,9,-27,8,2
132,Sydney,8,Home,61,2022-05-07,Saturday,2,MCG,20420,2022,Gold Coast,Loss,6,-14,13,3
133,Gold Coast,8,Away,75,2022-05-07,Saturday,2,MCG,20420,2022,Sydney,Win,13,14,6,1
134,Greater Western Sydney,8,Home,35,2022-05-07,Saturday,5,Manuka Oval,11661,2022,Geelong,Loss,15,-53,5,2
135,Geelong,8,Away,88,2022-05-07,Saturday,5,Manuka Oval,11661,2022,Greater Western Sydney,Win,5,53,15,3
136,Essendon,8,Home,108,2022-05-07,Saturday,7,Docklands,33042,2022,Hawthorn,Win,16,27,12,1
137,Hawthorn,8,Away,81,2022-05-07,Saturday,7,Docklands,33042,2022,Essendon,Loss,12,-27,16,1
138,Brisbane Lions,8,Home,105,2022-05-07,Saturday,7,Gabba,19331,2022,West Coast,Win,3,75,18,4
139,West Coast,8,Away,30,2022-05-07,Saturday,7,Gabba,19331,2022,Brisbane Lions,Loss,18,-75,3,1
140,Melbourne,8,Home,93,2022-05-08,Sunday,1,MCG,35767,2022,St Kilda,Win,1,38,7,5
141,St Kilda,8,Away,55,2022-05-08,Sunday,1,MCG,35767,2022,Melbourne,Loss,7,-38,1,4
142,Carlton,8,Home,116,2022-05-08,Sunday,5,Docklands,25376,2022,Adelaide,Win,4,48,14,3
143,Adelaide,8,Away,68,2022-05-08,Sunday,5,Docklands,25376,2022,Carlton,Loss,14,-48,4,3
144,Collingwood,9,Home,51,2022-05-13,Friday,8,Docklands,44029,2022,Western Bulldogs,Loss,11,-48,9,2
145,Western Bulldogs,9,Away,99,2022-05-13,Friday,8,Docklands,44029,2022,Collingwood,Win,9,48,11,2
146,Hawthorn,9,Home,94,2022-05-14,Saturday,2,MCG,40663,2022,Richmond,Loss,13,-23,8,1
147,Richmond,9,Away,117,2022-05-14,Saturday,2,MCG,40663,2022,Hawthorn,Win,8,23,13,3
